Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
triphase cable,20,23,90,9,0.30,https://cuve-expert.fr/e-moteur-pompe-immergee/4862-e-cable-moteur-psc-3-fils-triphase-15.html,0,0,0.00,1,2260000,"[52,41,52,52,41,52,64,52,52,64,41,41]",2025-05-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
pompe à graisse électrique,28,0,590,15,0.27,https://cuve-expert.fr/21-l-pompe-graisse,0,0,0.00,1,3110000,"[81,81,81,81,67,67,67,67,81,67,67,81]",2025-05-25,"Reviews, Video, Image, Shopping ads, People also ask, Related searches","informational, transactional",Organic
cuve recuperation eau de pluie enterré,90,0,390,9,0.41,https://cuve-expert.fr/e-cuve-eau/6399-cuve-de-recuperation-d-eau-enterrable-1000l-avec-rehausse.html,0,0,0.00,1,9110,"[16,20,13,20,16,16,10,13,4,10,16,20]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
cuve recuperation eau de pluie enterré,12,15,390,9,0.41,https://cuve-expert.fr/228-cuves-eau-enterrables,1,0,0.00,1,9110,"[16,20,13,20,16,16,10,13,4,10,16,20]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
pompe transfert gasoil,17,9,90,8,0.28,https://cuve-expert.fr/35-g-pompe-electrique-gnr-fioul-gasoil,0,0,0.00,1,88,"[23,12,23,23,23,28,23,17,28,23,23,17]",2025-05-25,"Reviews, Video, Shopping ads, Popular products, Related searches",commercial,Organic
bouchon cuve fioul,14,7,140,8,0.17,https://cuve-expert.fr/g-accessoires-cuve-gnr-fioul-gasoil/3738-g-bouchon-event-male-2-cuve-fuel.html,0,0,0.00,0.98,80,"[52,33,33,23,52,66,66,66,66,80,66,80]",2025-05-25,"Image pack, Reviews, Video, Related searches","informational, transactional",Organic
tva déductible carburant,28,28,90,13,0.44,https://cuve-expert.fr/blog/recuperation-tva-essence/,0,0,0.00,0,1010000,"[29,18,22,18,10,18,18,14,10,10,22,35]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
conduites d eau,63,72,110,9,0.00,https://cuve-expert.fr/236-tuyau-a-eau,0,0,0.00,0.21,11,"[65,15,15,15,34,28,15,28,43,0,100,81]",2025-05-25,"Image pack, Reviews, Video, Image, People also ask, Related searches",informational,Organic
comment mettre de la pression dans un surpresseur,36,32,70,29,0.00,https://cuve-expert.fr/blog/surpresseur-arret-ou-demarre-trop-rapidement/,0,0,0.00,0,1010000,"[100,100,100,100,100,7,7,7,7,7,7,7]",2025-05-25,"Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
comment mettre de la pression dans un surpresseur,1,1,70,29,0.00,https://cuve-expert.fr/blog/regler-surpresseur-facilement/,9,0.06,0.00,0,1010000,"[100,100,100,100,100,7,7,7,7,7,7,7]",2025-05-25,"Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
comment mettre de la pression dans un surpresseur,1,0,70,29,0.00,https://cuve-expert.fr/blog/regler-surpresseur-facilement/,0,0,0.00,0,1010000,"[100,100,100,100,100,7,7,7,7,7,7,7]",2025-05-25,"Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,AI overview
camion consommation,43,37,50,19,0.00,https://cuve-expert.fr/blog/consommation-adblue-poids-lourds/,0,0,0.00,0,12500000,"[80,9,9,9,9,9,52,52,9,9,9,9]",2025-05-25,"Image pack, Reviews, Video, Featured snippet, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
réservoir vessie 100l,85,0,90,10,0.31,https://cuve-expert.fr/e-reservoir-surpresseur/5069-e-reservoir-surpresseur-h-100-10-bars-vessie-eau-froide.html,0,0,0.00,1,22600,"[82,82,82,52,100,64,64,23,29,17,0,0]",2025-05-25,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
réservoir vessie 100l,39,36,90,10,0.31,https://cuve-expert.fr/e-reservoir-surpresseur/5073-e-reservoir-surpresseur-v-100-10-bars-vessie-eau-froide.html,0,0,0.00,1,22600,"[82,82,82,52,100,64,64,23,29,17,0,0]",2025-05-25,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
compteur chiffres,27,25,90,15,0.00,https://cuve-expert.fr/g-compteur-pompe-gnr-fioul-gasoil/3815-g-compteur-mecanique-4-chiffres.html,0,0,0.00,0.96,8,"[64,50,50,50,50,50,0,64,100,78,50,100]",2025-05-25,"Image pack, Reviews, Video, Video Carousel, Popular products, Related searches",informational,Organic
comment installer une pompe de relevage pour machine à laver,15,13,70,14,0.00,https://cuve-expert.fr/blog/installer-pompe-relevage/,0,0,0.00,0.03,75,"[35,35,35,50,100,64,21,64,28,78,50,78]",2025-05-25,"Sitelinks, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
comment installer une pompe de relevage pour machine à laver,2,2,70,14,0.00,https://cuve-expert.fr/blog/pompe-relevage-machine-laver/,5,0.03,0.00,0.03,75,"[35,35,35,50,100,64,21,64,28,78,50,78]",2025-05-25,"Sitelinks, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
entonnoir eau de pluie,28,72,90,10,0.00,https://cuve-expert.fr/l-entonnoirs/3447-l-entonnoir-pe-avec-filtre-et-flexible-plast-o-160mm.html,0,0,0.00,0.97,88,"[29,29,12,9,15,12,12,5,2,5,6,12]",2025-05-25,"Image pack, Reviews, Video, Popular products",informational,Organic
tva carburant 2024,31,27,390,21,0.00,https://cuve-expert.fr/blog/recuperation-tva-essence/,0,0,0.00,0,3850000,"[44,44,100,54,29,54,54,54,44,29,23,15]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
pression reseau eau,94,0,140,22,0.00,https://cuve-expert.fr/blog/pression-sanitaire-habitation/,0,0,0.00,0,4340000,"[80,80,66,52,66,52,42,42,42,80,52,52]",2025-05-25,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
pression reseau eau,17,20,140,22,0.00,https://cuve-expert.fr/blog/pompe-ameliorer-pression-eau-reseau-domestique/,0,0,0.00,0,4340000,"[80,80,66,52,66,52,42,42,42,80,52,52]",2025-05-25,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
calcul m3 eau,47,30,70,30,0.00,https://cuve-expert.fr/blog/calculer-volume-cuve/,0,0,0.00,0,4390000,"[6,8,8,8,5,2,2,1,1,3,3,3]",2025-05-25,"Reviews, Video, Featured snippet, People also ask, Related searches, AI overview",informational,Organic
tracteur renault n71,7,7,90,10,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,0,0,0.00,0,45,"[64,52,52,41,41,41,41,29,52,41,41,64]",2025-05-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
pompe thermique à eau,61,0,720,12,0.21,https://cuve-expert.fr/50-e-motopompe,0,0,0.00,1,13,"[100,100,100,88,100,39,59,59,26,59,32,72]",2025-05-25,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask, Popular products, Related searches, Short videos",transactional,Organic
déduction tva essence,7,4,110,14,0.00,https://cuve-expert.fr/blog/recuperation-tva-essence/,2,0.01,0.00,0,9690000,"[42,52,52,66,33,80,80,80,52,66,52,52]",2025-05-25,"Image pack, Reviews, Video Carousel, People also ask, Related searches","commercial, informational",Organic
taille raccord plomberie,77,81,590,20,0.19,https://cuve-expert.fr/blog/raccords-plomberie/,0,0,0.00,0.16,2860000,"[81,66,66,66,81,81,81,100,81,100,81,81]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
recuperation eau de pluie,84,72,1300,32,0.43,https://cuve-expert.fr/11-e-cuve-eau,0,0,0.00,1,981000,"[36,36,19,19,15,15,15,10,10,15,15,24]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
recuperation eau de pluie,30,0,1300,32,0.43,https://cuve-expert.fr/blog/legal-recuperer-eau-pluviale/,0,0,0.00,1,981000,"[36,36,19,19,15,15,15,10,10,15,15,24]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
ou trouver du gnr en libre service,2,1,70,15,0.00,https://cuve-expert.fr/blog/trouver-gnr-pompe-guide/,2,0.01,0.00,0,62,"[13,13,4,2,3,1,2,2,2,3,3,2]",2025-05-25,"Sitelinks, Reviews, People also ask, Related searches, AI overview","commercial, informational",Organic
ou trouver du gnr en libre service,1,1,70,15,0.00,https://cuve-expert.fr/blog/trouver-gnr-pompe-guide/,1,0,0.00,0,62,"[13,13,4,2,3,1,2,2,2,3,3,2]",2025-05-25,"Sitelinks, Reviews, People also ask, Related searches, AI overview","commercial, informational",People also ask
pompe qui aspire l'eau,36,46,720,15,0.25,https://cuve-expert.fr/blog/problemes-aspiration-pompe-eau/,0,0,0.00,1,797000,"[67,100,76,76,55,45,67,30,20,36,45,45]",2025-05-25,"Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Image pack
pompe qui aspire l'eau,15,14,720,15,0.25,https://cuve-expert.fr/blog/problemes-aspiration-pompe-eau/,1,0,0.00,1,797000,"[67,100,76,76,55,45,67,30,20,36,45,45]",2025-05-25,"Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
pompe qui aspire l'eau,7,9,720,15,0.25,https://cuve-expert.fr/blog/solution-problemes-aspiration-pompe-surface-et-pompe-surpresseur/,2,0.01,0.00,1,797000,"[67,100,76,76,55,45,67,30,20,36,45,45]",2025-05-25,"Image pack, Reviews, Image, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Organic
pressostat pompe à eau,29,28,480,11,0.21,https://cuve-expert.fr/133-e-pressostat,0,0,0.00,1,78,"[100,66,100,81,81,44,36,36,36,44,44,81]",2025-05-25,"Reviews, Video, Ads bottom, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
reservoir agricole,31,33,50,15,2.01,https://cuve-expert.fr/226-cuves-a-eau-agricoles,0,0,0.00,0.1,7310000,"[35,12,10,17,23,12,5,5,23,17,10,7]",2025-05-25,"Reviews, Video, Featured snippet, People also ask, Related searches",commercial,Organic
réservoir agricole,30,32,50,15,2.01,https://cuve-expert.fr/226-cuves-a-eau-agricoles,0,0,0.00,0.1,3,"[53,19,15,26,34,19,7,7,34,26,15,11]",2025-05-25,"Reviews, Video, Featured snippet, Related searches",commercial,Organic
presse etoupe pompe,43,0,140,10,0.68,https://cuve-expert.fr/e-autres/4103-e-bague-laiton-presse-etoupe-pompe-109450-51.html,0,0,0.00,0.7,40000,"[82,100,82,82,82,64,82,82,64,82,64,82]",2025-05-25,"Image pack, Video, Image, People also ask, Popular products, Related searches",informational,Organic
jerrican plastique ou metal,53,0,140,8,0.00,https://cuve-expert.fr/g-jerrican-essence/3803-g-jerrican-metal-essence-5l.html,0,0,0.00,0.01,81,"[2,2,2,2,2,2,2,2,2,2,26,100]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches","commercial, informational",Organic
jerrican plastique ou metal,9,0,140,8,0.00,https://cuve-expert.fr/10-g-jerrican-essence,1,0,0.00,0.01,81,"[2,2,2,2,2,2,2,2,2,2,26,100]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches","commercial, informational",Organic
jerrican metal ou plastique,12,0,140,8,0.00,https://cuve-expert.fr/10-g-jerrican-essence,0,0,0.00,0.01,83,"[2,2,2,2,2,2,2,2,2,2,26,100]",2025-05-25,"Reviews, Video, Shopping ads, People also ask","commercial, informational",Organic
jerrican essence,63,56,3600,26,0.33,https://cuve-expert.fr/10-g-jerrican-essence,0,0,0.00,1,895000,"[19,19,16,16,16,13,13,13,10,13,13,19]",2025-05-25,"Reviews, Video, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
colson,61,0,8100,22,0.57,https://cuve-expert.fr/e-collier-serrage/4025-e-collier-colson-9x262-serrage.html,0,0,0.00,1,27700000,"[66,66,66,66,66,81,66,66,66,66,66,66]",2025-05-25,"Reviews, Video, Featured snippet, Shopping ads, People also ask, Related searches, AI overview",informational,Organic
cuve a fioul,62,58,1000,15,0.63,https://cuve-expert.fr/7-g-cuve-stockage-gnr-fioul-gasoil,0,0,0.00,1,1690000,"[52,46,37,37,37,52,52,52,52,68,68,68]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
pompe de relevage sous sol,4,3,140,13,0.37,https://cuve-expert.fr/blog/installer-pompe-relevage/,3,0.02,1.00,0.51,1,"[42,42,52,52,33,52,100,42,33,80,66,100]",2025-05-25,"Image pack, Reviews, Video, Shopping ads, People also ask, Related searches",informational,Organic
pressostat pour surpresseur,5,9,590,11,0.34,https://cuve-expert.fr/133-e-pressostat,11,0.08,3.00,0.99,74,"[81,100,100,81,81,67,67,67,54,54,54,67]",2025-05-25,"Image pack, Video, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
cuve 1000 litres,17,12,4400,12,0.46,https://cuve-expert.fr/cuve-a-eau-1000l/6426-cuve-a-eau-1000l-hors-sol-horizontale-pieds-carres-pre-equipee.html,6,0.04,2.00,1,2030000,"[29,24,16,16,16,13,8,8,7,8,10,16]",2025-05-25,"Reviews, Video, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
puit pompe manuelle,85,58,390,12,0.18,https://cuve-expert.fr/111-e-pompe-immergee-puit-profond,0,0,0.00,1,737000,"[81,67,29,100,81,36,36,29,29,23,44,19]",2025-05-25,"Image pack, Reviews, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
recupérateur eau,68,72,170,34,0.15,https://cuve-expert.fr/11-e-cuve-eau,0,0,0.00,1,10800,"[10,10,10,45,6,3,3,2,1,5,2,45]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
tuyau pour recuperateur d'eau,30,33,50,17,0.11,https://cuve-expert.fr/51-e-raccords-cuve-pompe-eau,0,0,0.00,1,90,"[53,65,34,34,7,7,7,7,7,7,7,11]",2025-05-25,"Reviews, Video, Popular products, Related searches",transactional,Organic
station adblue,16,19,4400,22,0.95,https://cuve-expert.fr/a-pompe-adblue-electrique-230v/3614-a-pompe-station-adblue-230v-35l-min-pistolet-auto.html,6,0.04,5.00,0.07,9,"[29,29,44,29,81,54,54,36,44,44,36,29]",2025-05-25,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
cuve enterrée pour récupération eau de pluie,47,46,320,10,0.41,https://cuve-expert.fr/blog/choisir-cuve-eau/,0,0,0.00,1,136000,"[59,48,48,39,39,32,26,26,17,26,26,21]",2025-05-25,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Popular products, Related searches, Short videos","informational, transactional",Organic
cuve enterrée pour récupération eau de pluie,2,2,320,10,0.41,https://cuve-expert.fr/228-cuves-eau-enterrables,42,0.3,17.00,1,136000,"[59,48,48,39,39,32,26,26,17,26,26,21]",2025-05-25,"Image pack, Sitelinks, Reviews, Video Carousel, People also ask, Popular products, Related searches, Short videos","informational, transactional",Organic
pompe electrique pour gasoil,3,2,590,12,0.22,https://cuve-expert.fr/35-g-pompe-electrique-gnr-fioul-gasoil,38,0.27,8.00,1,1770000,"[36,24,36,55,45,36,55,36,36,30,24,16]",2025-05-25,"Reviews, Video, Shopping ads, People also ask, Popular products, Related searches",commercial,Organic
cuve eau 1000,9,17,480,10,0.31,https://cuve-expert.fr/e-cuve-eau/6425-cuve-a-eau-1000l-hors-sol-horizontale-encombrement-reduit-pre-equipee.html,10,0.07,3.00,1,3030000,"[45,0,67,55,76,0,45,45,24,0,30,20]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, Shopping ads, People also ask, Popular products, Related searches","informational, transactional",Organic
raccord plombier,87,81,3600,22,0.39,https://cuve-expert.fr/blog/raccords-plomberie/,0,0,0.00,1,1180000,"[66,66,54,28,43,66,54,66,43,81,19,7]",2025-05-25,"Image pack, Reviews, People also ask, Popular products, Related searches",informational,Organic
brocs en plastique,8,0,110,6,0.19,https://cuve-expert.fr/l-broc-plastique-gradue/3432-l-broc-plastique-gradue-2l.html,2,0.01,0.00,0.99,1,"[42,80,33,66,52,66,66,66,42,52,52,52]",2025-05-25,"Image pack, Reviews, Image, Shopping ads, Related searches","commercial, informational",Organic
pompe centrifuge,6,6,1300,15,0.91,https://cuve-expert.fr/118-e-pompe-centrifuge,24,0.17,21.00,0.93,1460000,"[68,68,68,46,37,68,68,84,52,84,68,84]",2025-05-25,"Knowledge panel, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
tuyau pompe aspiration,85,91,480,13,0.18,https://cuve-expert.fr/blog/problemes-aspiration-pompe-eau/,0,0,0.00,1,4030000,"[88,88,100,88,72,32,32,21,17,26,14,32]",2025-05-25,"Reviews, Video, Image, Shopping ads, People also ask, Popular products, Related searches",transactional,Organic
un broc,19,22,590,31,0.00,https://cuve-expert.fr/l-broc-plastique-gradue/3431-l-broc-plastique-gradue-1l-avec-flexible.html,0,0,0.00,0.04,12,"[67,67,54,54,54,67,81,81,81,67,67,67]",2025-05-25,"Knowledge panel, Video, Featured snippet, Image, People also ask, Related searches, AI overview",informational,Organic
pompe à eaux chargées,40,0,590,12,0.25,https://cuve-expert.fr/e-pompes-relevage-eaux-chargees/4929-e-pompe-relevage-16kw-monoph-inox-eaux-chargees.html,0,0,0.00,1,431000,"[84,84,1,1,1,1,1,1,31,84,25,84]",2025-05-25,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
pompe à eaux chargées,15,11,590,12,0.25,https://cuve-expert.fr/106-e-pompes-relevage-eaux-chargees,0,0,0.00,1,431000,"[84,84,1,1,1,1,1,1,31,84,25,84]",2025-05-25,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
té pvc 50,26,0,110,7,0.23,https://cuve-expert.fr/e-raccord-pvc/4646-e-te-90-pvc-tid-fff-a-coller-diametre-50.html,0,0,0.00,1,89,"[29,22,22,22,14,22,22,18,18,18,18,22]",2025-05-25,"Image pack, Video, Image, Shopping ads, Popular products, Related searches","informational, transactional",Organic
cuve de ravitaillement 200l,2,15,140,6,0.53,https://cuve-expert.fr/95-g-cuve-transport-gnr-fioul-gasoil-200l,11,0.08,5.00,1,67,"[52,52,64,82,64,82,100,82,64,100,82,100]",2025-05-25,"Reviews, Video, Popular products, Related searches","informational, transactional",Organic
renault 1181-4,14,0,70,11,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,0,0,0.00,0,100,"[65,34,0,26,42,65,0,80,0,0,0,3]",2025-05-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
tractor renault,1,1,70,20,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,4,0.02,0.00,0.01,18000000,"[18,45,63,45,45,63,63,63,63,63,100,63]",2025-05-25,"Image pack, Reviews, Video, People also ask, Related searches",informational,People also ask
pompe a huile voiture,63,57,590,21,0.25,https://cuve-expert.fr/20-l-pompe-huile,0,0,0.00,1,11400000,"[81,81,81,81,66,81,81,100,81,81,100,100]",2025-05-25,"Image pack, Reviews, Video, People also ask, Popular products, Related searches",transactional,Organic
renault 652,17,0,110,13,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,0,0,0.00,0,99,"[42,52,66,52,80,52,52,42,42,42,52,52]",2025-05-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
pompe recuperation eau de pluie,81,90,260,10,0.16,https://cuve-expert.fr/11-e-cuve-eau,0,0,0.00,1,949000,"[100,66,100,66,81,54,35,43,29,43,2,0]",2025-05-25,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
pompes immergées pour puits,32,35,720,24,0.27,https://cuve-expert.fr/47-e-pompe-immergee,0,0,0.00,1,88,"[100,1,3,80,0,0,0,0,0,44,0,0]",2025-05-25,"Reviews, Video, People also ask, Popular products, Related searches",commercial,Organic
tracteur renault 56,4,0,320,11,0.00,https://cuve-expert.fr/blog/quelles-sont-les-marques-de-tracteurs-francais/,3,0.02,0.00,0.01,74,"[66,66,66,66,66,81,54,81,66,66,43,54]",2025-05-25,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",informational,People also ask
contacteur pompe a eau,12,24,70,9,0.21,https://cuve-expert.fr/52-e-accessoires-electriques-pompe,0,0,0.00,1,2,"[5,5,5,3,3,3,3,3,2,2,3,3]",2025-05-25,"Image pack, Reviews, Video, People also ask, Popular products, Related searches","informational, transactional",Organic
